Statistical profiling result from log-v8-nodegub.log, (1557 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      6    0.4%    0.4%  t _Builtins_ToBooleanForBaselineJump
      6    0.4%    0.4%  t _Builtins_Call_ReceiverIsNullOrUndefined_Baseline_Compact
      5    0.3%    0.3%  t _Builtins_SetDataProperties
      5    0.3%    0.3%  t _Builtins_LoadIC_Megamorphic
      5    0.3%    0.3%  t _Builtins_Call_ReceiverIsNotNullOrUndefined_Baseline_Compact
      4    0.3%    0.3%  t std::__1::basic_ostream<char, std::__1::char_traits<char> >& std::__1::__put_character_sequence<char, std::__1::char_traits<char> >(std::__1::basic_ostream<char, std::__1::char_traits<char> >&, char const*, unsigned long)
      4    0.3%    0.3%  t _Builtins_StringSubstring
      4    0.3%    0.3%  t _Builtins_StrictEqual_Baseline
      4    0.3%    0.3%  t _Builtins_BaselineOutOfLinePrologue
      4    0.3%    0.3%  t _Builtins_BaselineLeaveFrame
      4    0.3%    0.3%  T _task_restartable_ranges_synchronize
      3    0.2%    0.2%  t __os_nospin_lock_unlock_slow
      3    0.2%    0.2%  t __os_nospin_lock_lock_slow
      3    0.2%    0.2%  t _Builtins_StringEqual
      3    0.2%    0.2%  t _Builtins_KeyedLoadIC_PolymorphicName
      3    0.2%    0.2%  t _Builtins_CallFunction_ReceiverIsNullOrUndefined
      3    0.2%    0.2%  t _Builtins_CallFunction_ReceiverIsAny
      3    0.2%    0.2%  T _mach_msg_server_once
      2    0.1%    0.1%  t __pthread_strtoul
      2    0.1%    0.1%  t __os_once_gate_wait
      2    0.1%    0.1%  t __enlarge
      2    0.1%    0.1%  t _Builtins_TypedArrayPrototypeSet
      2    0.1%    0.1%  t _Builtins_TypedArrayPrototypeLength
      2    0.1%    0.1%  t _Builtins_StoreIC_NoFeedback
      2    0.1%    0.1%  t _Builtins_LoadIC_StringLength
      2    0.1%    0.1%  t _Builtins_LessThan_Baseline
      2    0.1%    0.1%  t _Builtins_KeyedStoreIC_Megamorphic
      2    0.1%    0.1%  t _Builtins_InstanceOf_Baseline
      2    0.1%    0.1%  t _Builtins_GetProperty
      2    0.1%    0.1%  t _Builtins_FastNewStrictArguments
      2    0.1%    0.1%  t _Builtins_FastNewObject
      2    0.1%    0.1%  t _Builtins_FastNewFunctionContextFunction
      2    0.1%    0.1%  t _Builtins_Call_ReceiverIsNullOrUndefined
      2    0.1%    0.1%  T _mach_vm_allocate
      2    0.1%    0.1%  T _host_create_mach_voucher
      1    0.1%    0.1%  t _uv__metrics_update_idle_time
      1    0.1%    0.1%  t _uv__hrtime
      1    0.1%    0.1%  t _ustrcase_internalToLower_71
      1    0.1%    0.1%  t _construct_stub_create_deopt_addr
      1    0.1%    0.1%  t __pthread_mutex_global_init
